Label,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10,Component_11,Component_12,Component_13,Component_14,Component_15,Component_16,Component_17,Component_18
MCI,0.106775943,0.203319039,0.042666394,0.073860876,-0.143974794,0.027923252,0.046395674,0.082276588,0.039487667,0.044772231,0.06959083,0.071764767,0.033321022,-0.143772852,0.060216627,-0.008600278,0.023753983,0.164417754
MCI,0.092789921,0.221957312,0.044817131,0.074607395,-0.110259404,0.055676724,0.038319996,0.017938397,0.026941831,0.035132141,0.083466264,0.031657208,-0.014835051,-0.133054247,0.069070436,0.034176892,0.022750848,0.189801633
MCI,0.111074937,0.226391448,0.064814504,0.013960516,-0.137072999,0.077111555,0.074400776,0.051560496,0.002953573,0.031929307,0.053102242,0.024403493,0.032038241,-0.116979664,0.066816702,0.022206186,0.013185615,0.136385807
MCI,0.095873549,0.216792332,0.023354111,0.047258938,-0.104120678,0.092190253,0.110229281,0.05753994,0.021723525,0.040537186,0.102779531,0.074886568,-0.007537599,-0.13000095,0.02575567,0.03923378,0.003370623,0.119522992
MCI,0.10546208,0.217809536,0.096998693,0.078148002,-0.114747775,0.047970876,0.061669204,0.03106163,0.015477066,0.023812263,0.050741515,0.007662528,0.022593255,-0.1352941,0.041405625,0.024188386,0.031494135,0.182688884
MCI,0.092490804,0.232106592,0.067333237,0.059810477,-0.092898694,0.03461009,0.063328491,0.023167907,0.034190575,0.035241541,0.056753029,0.03695412,-0.02408862,-0.129138146,0.056334946,0.030209016,0.018735386,0.209195144
MCI,0.100085704,0.22319503,0.055742844,0.067642188,-0.114676557,0.062858949,0.061013715,0.04388278,0.018852089,0.036403357,0.054163901,0.032022245,-0.028967901,-0.11655385,0.084229476,0.006963303,0.016704212,0.167099403
MCI,0.147418039,0.183083337,0.012991289,0.064244132,-0.145346825,0.026730151,0.06657253,-0.010380016,0.032368187,0.044669125,0.113704468,-0.034503903,-0.051320988,-0.151946693,0.055553734,0.015773967,-0.012901543,0.115051473
MCI,0.159351648,0.219777625,0.027461392,0.048685576,-0.116112487,0.017242639,0.065024718,-0.037196425,0.031925882,0.026186512,0.09406986,0.001707341,-0.029502092,-0.114446628,0.064015696,0.009761038,-0.011902243,0.16881894
MCI,0.111111434,0.205088138,0.0760533,0.067052482,-0.105686763,0.017234058,0.080192573,0.065214396,0.009419864,0.036212908,0.057323919,-0.003234859,-0.037258213,-0.127074463,0.049199795,0.005958631,0.014911312,0.114246124
MCI,0.0977927,0.231729007,0.089497449,0.052472517,-0.115590637,0.054240078,0.093843092,0.0763,0.009393267,0.024129266,0.062318438,0.070300774,-0.015511784,-0.080675906,0.062145556,0.017849695,0.027377347,0.171107576
MCI,0.096767861,0.231159108,0.116103918,0.066219008,-0.12007952,0.078223972,0.090514811,0.051869935,0.02647178,0.069533218,0.076896208,0.113256927,0.000691457,-0.054226098,0.058484935,0.025066577,0.033891796,0.180725974
MCI,0.194808387,0.179109776,0.045254968,0.0534582,-0.156636301,0.068271359,0.018072748,0.079333348,0.029033344,0.136479596,0.098751072,0.071612611,-0.033247809,-0.029008682,0.035819431,0.035074878,-0.013998896,0.11644303
MCI,0.122710817,0.207908037,0.027143901,0.038154319,-0.102985702,0.06265136,0.075725126,0.01064438,0.036915816,0.022291496,0.069096283,0.009428016,-0.012305247,-0.154486641,0.05253854,0.01546968,-0.008712766,0.142756192
